observation_date,CMDEBT
1945-10-01,29.442
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,36.067
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,44.913
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,53.423
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,61.273
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,74.845
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,83.447
1952-01-01,85.700
1952-04-01,89.022
1952-07-01,91.883
1952-10-01,95.595
1953-01-01,99.754
1953-04-01,103.185
1953-07-01,105.582
1953-10-01,108.158
1954-01-01,109.969
1954-04-01,112.672
1954-07-01,115.975
1954-10-01,120.453
1955-01-01,125.737
1955-04-01,131.665
1955-07-01,136.861
1955-10-01,141.563
1956-01-01,145.632
1956-04-01,149.514
1956-07-01,152.606
1956-10-01,156.400
1957-01-01,159.998
1957-04-01,163.621
1957-07-01,166.411
1957-10-01,168.574
1958-01-01,170.187
1958-04-01,172.308
1958-07-01,175.485
1958-10-01,180.368
1959-01-01,185.158
1959-04-01,190.686
1959-07-01,196.494
1959-10-01,202.312
1960-01-01,205.944
1960-04-01,211.105
1960-07-01,215.384
1960-10-01,219.857
1961-01-01,223.424
1961-04-01,227.802
1961-07-01,231.794
1961-10-01,237.897
1962-01-01,241.979
1962-04-01,247.269
1962-07-01,253.278
1962-10-01,259.748
1963-01-01,265.529
1963-04-01,273.045
1963-07-01,280.355
1963-10-01,288.207
1964-01-01,295.158
1964-04-01,302.628
1964-07-01,309.327
1964-10-01,317.126
1965-01-01,323.883
1965-04-01,331.135
1965-07-01,337.889
1965-10-01,345.859
1966-01-01,352.482
1966-04-01,359.679
1966-07-01,363.409
1966-10-01,368.389
1967-01-01,371.777
1967-04-01,376.520
1967-07-01,382.306
1967-10-01,402.313
1968-01-01,397.669
1968-04-01,407.891
1968-07-01,415.109
1968-10-01,426.687
1969-01-01,429.576
1969-04-01,438.266
1969-07-01,443.618
1969-10-01,453.267
1970-01-01,451.256
1970-04-01,453.903
1970-07-01,459.349
1970-10-01,467.157
1971-01-01,475.664
1971-04-01,485.229
1971-07-01,496.017
1971-10-01,511.303
1972-01-01,524.671
1972-04-01,540.098
1972-07-01,553.144
1972-10-01,571.260
1973-01-01,590.517
1973-04-01,604.553
1973-07-01,620.759
1973-10-01,636.669
1974-01-01,649.073
1974-04-01,664.213
1974-07-01,678.860
1974-10-01,691.463
1975-01-01,700.256
1975-04-01,708.387
1975-07-01,724.097
1975-10-01,747.467
1976-01-01,767.638
1976-04-01,788.201
1976-07-01,808.287
1976-10-01,836.251
1977-01-01,864.809
1977-04-01,897.922
1977-07-01,931.219
1977-10-01,966.499
1978-01-01,1002.802
1978-04-01,1046.971
1978-07-01,1088.856
1978-10-01,1128.011
1979-01-01,1170.217
1979-04-01,1211.369
1979-07-01,1255.569
1979-10-01,1296.896
1980-01-01,1338.608
1980-04-01,1352.030
1980-07-01,1381.252
1980-10-01,1420.187
1981-01-01,1442.338
1981-04-01,1474.872
1981-07-01,1498.878
1981-10-01,1526.550
1982-01-01,1545.004
1982-04-01,1564.464
1982-07-01,1567.289
1982-10-01,1597.887
1983-01-01,1608.036
1983-04-01,1652.377
1983-07-01,1700.844
1983-10-01,1759.572
1984-01-01,1813.139
1984-04-01,1870.217
1984-07-01,1915.438
1984-10-01,1977.628
1985-01-01,2078.562
1985-04-01,2142.766
1985-07-01,2223.574
1985-10-01,2329.728
1986-01-01,2383.822
1986-04-01,2436.276
1986-07-01,2514.104
1986-10-01,2592.227
1987-01-01,2626.546
1987-04-01,2706.761
1987-07-01,2774.485
1987-10-01,2818.757
1988-01-01,2894.766
1988-04-01,2967.780
1988-07-01,3038.213
1988-10-01,3102.094
1989-01-01,3167.159
1989-04-01,3242.022
1989-07-01,3314.099
1989-10-01,3386.019
1990-01-01,3479.871
1990-04-01,3541.854
1990-07-01,3593.752
1990-10-01,3646.226
1991-01-01,3702.064
1991-04-01,3758.136
1991-07-01,3788.995
1991-10-01,3855.229
1992-01-01,3907.014
1992-04-01,3944.262
1992-07-01,3996.742
1992-10-01,4056.076
1993-01-01,4098.211
1993-04-01,4159.159
1993-07-01,4230.310
1993-10-01,4305.539
1994-01-01,4377.940
1994-04-01,4456.482
1994-07-01,4528.342
1994-10-01,4630.251
1995-01-01,4703.847
1995-04-01,4786.121
1995-07-01,4879.834
1995-10-01,4953.383
1996-01-01,5075.518
1996-04-01,5166.158
1996-07-01,5236.811
1996-10-01,5316.548
